title,description,genre,artist,year
'Imagine','A peaceful anthem advocating for world peace','Rock','John Lennon',1971
'Billie Jean','A pop classic with a memorable bassline','Pop','Michael Jackson',1982
'Juicy','A classic East Coast rap anthem','Rap','The Notorious B.I.G.',1994
'Still D.R.E.','A comeback rap song with a iconic beat','Rap','Dr. Dre',1999
'Sweet Child O' Mine','A hard rock anthem with a distinctive opening riff','Rock','Guns N' Roses',1987
'Lose Yourself','An intense rap song with a powerful message','Rap','Eminem',2002
'Smells Like Teen Spirit','A grunge anthem that defined a generation','Rock','Nirvana',1991
'Bohemian Rhapsody','An iconic rock opera with a unique structure','Rock','Queen',1975
'Hey Jude','A Beatles classic with a long fade-out','Rock','The Beatles',1968
'Like a Rolling Stone','A groundbreaking song that changed rock music','Rock','Bob Dylan',1965
'Stairway to Heaven','An epic rock song with a mystical aura','Rock','Led Zeppelin',1971
'Hotel California','A classic rock song with a haunting atmosphere','Rock','Eagles',1976
'Thriller','A pop song with a famous music video','Pop','Michael Jackson',1982
'Purple Rain','A powerful ballad with a memorable guitar solo','Rock','Prince',1984
'This Is America','A socially conscious rap song with a powerful video','Rap','Childish Gambino',2018
'Every Breath You Take','A stalker's anthem with a catchy melody','Rock','The Police',1983
'Wonderwall','A Britpop anthem with a sing-along chorus','Rock','Oasis',1995
'Viva La Vida','A sweeping anthem with orchestral elements','Rock','Coldplay',2008
'Rolling in the Deep','A soulful pop song with a powerful vocal','Pop','Adele',2010
'Shape of You','A catchy pop song with a dancehall influence','Pop','Ed Sheeran',2017
'Nuthin' but a 'G' Thang','A classic West Coast rap anthem','Rap','Dr. Dre ft. Snoop Dogg',1992
'Uptown Funk','A funky pop song with a retro vibe','Pop','Mark Ronson ft. Bruno Mars',2014
'Hotline Bling','A smooth R&B song with a catchy melody','R&B','Drake',2015
'Happy','A feel-good pop song with a catchy hook','Pop','Pharrell Williams',2013
'Blinding Lights','A synth-pop song with a retro sound','Pop','The Weeknd',2019
'Dance Monkey','A catchy pop song with a danceable beat','Pop','Tones and I',2019
'In Da Club','A club anthem with a catchy hook','Rap','50 Cent',2003
'Old Town Road','A country-rap fusion with a viral appeal','Country','Lil Nas X',2019
'Bad Guy','A dark pop song with a catchy hook','Pop','Billie Eilish',2019
'Truth Hurts','A empowering pop song with a catchy melody','Pop','Lizzo',2017
'Sunflower','A feel-good pop song with a catchy hook','Pop','Post Malone and Swae Lee',2018
'Senorita','A Latin-pop duet with a romantic vibe','Pop','Shawn Mendes and Camila Cabello',2019
'Formation','A powerful anthem with a strong message','R&B','Beyoncé',2016
'Someone You Loved','A emotional pop ballad with a powerful vocal','Pop','Lewis Capaldi',2018
'Circles','A catchy pop song with a danceable beat','Pop','Post Malone',2019
'Don't Start Now','A disco-pop song with a catchy hook','Pop','Dua Lipa',2019
'Watermelon Sugar','A feel-good pop song with a catchy hook','Pop','Harry Styles',2019
'Adore You','A romantic pop song with a catchy melody','Pop','Harry Styles',2019
'Sicko Mode','A trap anthem with a unique structure','Rap','Travis Scott',2018
